Scenario,N_Prompt,N_Gen,Mode,Run,Total_Time_s,Prefill_TPS,Decode_TPS
C1_Sumarizacao,3840,128,01_KV,10,13.47,N/A,N/A
C1_Sumarizacao,3840,128,02_Attn,10,16.94,N/A,N/A
C1_Sumarizacao,3840,128,03_FFN,10,110.43,56.69,5.36
C1_Sumarizacao,3840,128,04_KV_Attn,10,15.38,N/A,N/A
C1_Sumarizacao,3840,128,05_KV_FFN,10,14.64,N/A,N/A
C1_Sumarizacao,3840,128,06_Attn_FFN,10,119.10,55.71,4.25
C1_Sumarizacao,3840,128,07_Tudo,10,13.83,N/A,N/A
C2_Geracao,128,3840,00_Baseline,1,309.76,93.54,13.14
C2_Geracao,128,3840,01_KV,1,591.43,94.51,6.70
C2_Geracao,128,3840,02_Attn,1,460.68,92.08,8.66
C2_Geracao,128,3840,03_FFN,1,662.90,104.66,5.95
C2_Geracao,128,3840,04_KV_Attn,1,736.41,96.98,5.36
C2_Geracao,128,3840,05_KV_FFN,1,913.89,89.18,4.30
C2_Geracao,128,3840,06_Attn_FFN,1,821.94,98.55,4.78
C2_Geracao,128,3840,07_Tudo,1,1133.34,87.31,3.46
C2_Geracao,128,3840,00_Baseline,2,310.56,99.48,13.09
C2_Geracao,128,3840,01_KV,2,579.45,96.49,6.85
C2_Geracao,128,3840,02_Attn,2,466.94,143.36,8.53
C2_Geracao,128,3840,03_FFN,2,661.67,91.21,5.96
C2_Geracao,128,3840,04_KV_Attn,2,721.87,93.86,5.48
C2_Geracao,128,3840,05_KV_FFN,2,896.75,90.13,4.38
C2_Geracao,128,3840,06_Attn_FFN,2,821.82,89.20,4.79
C2_Geracao,128,3840,07_Tudo,2,1117.78,87.94,3.50
C2_Geracao,128,3840,00_Baseline,3,310.94,94.95,13.07
C2_Geracao,128,3840,01_KV,3,562.53,99.29,7.06
C2_Geracao,128,3840,02_Attn,3,469.74,104.96,8.49
C2_Geracao,128,3840,03_FFN,3,659.92,91.31,5.98
C2_Geracao,128,3840,04_KV_Attn,3,760.90,97.06,5.19
C2_Geracao,128,3840,05_KV_FFN,3,875.69,90.37,4.49
C2_Geracao,128,3840,06_Attn_FFN,3,818.27,89.96,4.80
C2_Geracao,128,3840,07_Tudo,3,1313.81,67.83,2.98
C2_Geracao,128,3840,00_Baseline,4,319.65,154.02,12.63
C2_Geracao,128,3840,01_KV,4,557.11,98.34,7.13
C2_Geracao,128,3840,02_Attn,4,458.81,97.06,8.71
C2_Geracao,128,3840,03_FFN,4,659.62,89.89,5.99
C2_Geracao,128,3840,04_KV_Attn,4,696.41,99.09,5.68
C2_Geracao,128,3840,05_KV_FFN,4,934.59,88.60,4.20
C2_Geracao,128,3840,06_Attn_FFN,4,816.55,88.80,4.81
C2_Geracao,128,3840,07_Tudo,4,1148.97,88.73,3.40
C2_Geracao,128,3840,00_Baseline,5,312.07,97.51,13.02
C2_Geracao,128,3840,01_KV,5,563.33,97.53,7.06
C2_Geracao,128,3840,02_Attn,5,461.49,99.19,8.64
C2_Geracao,128,3840,03_FFN,5,662.34,94.16,5.96
C2_Geracao,128,3840,04_KV_Attn,5,745.94,95.17,5.29
C2_Geracao,128,3840,05_KV_FFN,5,932.64,90.07,4.21
C2_Geracao,128,3840,06_Attn_FFN,5,820.42,98.54,4.79
C2_Geracao,128,3840,07_Tudo,5,1133.68,87.84,3.45
C2_Geracao,128,3840,00_Baseline,6,312.07,97.37,12.97
C2_Geracao,128,3840,01_KV,6,608.21,96.84,6.52
C2_Geracao,128,3840,02_Attn,6,468.63,139.20,8.50
C2_Geracao,128,3840,03_FFN,6,664.02,106.48,5.94
