Scenario,N_Prompt,N_Gen,Mode,Run,Total_Time_s,Prefill_TPS,Decode_TPS
C1_Sumarizacao,3840,128,01_KV,10,13.79,N/A,N/A
C1_Sumarizacao,3840,128,02_Attn,10,17.28,N/A,N/A
C1_Sumarizacao,3840,128,03_FFN,10,173.19,30.14,4.79
C1_Sumarizacao,3840,128,04_KV_Attn,10,15.68,N/A,N/A
C1_Sumarizacao,3840,128,05_KV_FFN,10,15.09,N/A,N/A
C1_Sumarizacao,3840,128,06_Attn_FFN,10,179.01,30.37,4.03
C1_Sumarizacao,3840,128,07_Tudo,10,14.14,N/A,N/A
C2_Geracao,128,3840,00_Baseline,1,395.97,84.89,10.16
C2_Geracao,128,3840,01_KV,1,617.25,86.13,6.43
C2_Geracao,128,3840,02_Attn,1,537.70,86.51,7.40
C2_Geracao,128,3840,03_FFN,1,721.21,81.35,5.47
C2_Geracao,128,3840,04_KV_Attn,1,761.81,87.35,5.18
C2_Geracao,128,3840,05_KV_FFN,1,943.13,81.55,4.16
C2_Geracao,128,3840,06_Attn_FFN,1,866.21,81.23,4.54
C2_Geracao,128,3840,07_Tudo,1,1105.47,80.93,3.55
C2_Geracao,128,3840,00_Baseline,2,393.74,85.40,10.22
C2_Geracao,128,3840,01_KV,2,615.34,85.77,6.44
C2_Geracao,128,3840,02_Attn,2,534.97,86.95,7.42
C2_Geracao,128,3840,03_FFN,2,719.88,81.48,5.48
C2_Geracao,128,3840,04_KV_Attn,2,761.86,86.47,5.18
C2_Geracao,128,3840,05_KV_FFN,2,943.83,81.30,4.16
C2_Geracao,128,3840,06_Attn_FFN,2,867.14,81.13,4.54
C2_Geracao,128,3840,07_Tudo,2,1103.83,80.98,3.55
C2_Geracao,128,3840,00_Baseline,3,394.18,84.20,10.20
C2_Geracao,128,3840,01_KV,3,615.80,86.72,6.43
C2_Geracao,128,3840,02_Attn,3,536.94,85.99,7.41
C2_Geracao,128,3840,03_FFN,3,720.63,81.31,5.48
C2_Geracao,128,3840,04_KV_Attn,3,761.39,86.71,5.19
