Scenario,N_Prompt,N_Gen,Mode,Run,Total_Time_s,Prefill_TPS,Decode_TPS
C1_Sumarizacao,4096,128,00_Baseline,1,132.26,42.46,7.49
C1_Sumarizacao,4096,128,01_KV,1,155.81,38.57,4.05
C1_Sumarizacao,4096,128,02_Attn,1,124.57,46.48,6.76
C1_Sumarizacao,4096,128,03_FFN,1,142.03,44.88,4.24
C1_Sumarizacao,4096,128,04_KV_Attn,1,135.78,49.82,3.83
C1_Sumarizacao,4096,128,05_KV_FFN,1,168.94,39.41,2.86
C1_Sumarizacao,4096,128,06_Attn_FFN,1,143.79,44.99,3.86
C1_Sumarizacao,4096,128,07_Tudo,1,158.20,46.86,2.59
C1_Sumarizacao,4096,128,00_Baseline,2,130.58,42.37,7.51
C1_Sumarizacao,4096,128,01_KV,2,139.75,45.40,4.06
C1_Sumarizacao,4096,128,02_Attn,2,126.03,46.51,6.78
C1_Sumarizacao,4096,128,03_FFN,2,141.36,44.62,4.24
C1_Sumarizacao,4096,128,04_KV_Attn,2,145.21,44.52,3.83
C1_Sumarizacao,4096,128,05_KV_FFN,2,156.97,45.36,2.86
C1_Sumarizacao,4096,128,06_Attn_FFN,2,143.37,45.31,3.86
C1_Sumarizacao,4096,128,07_Tudo,2,172.95,40.14,2.59
C1_Sumarizacao,4096,128,00_Baseline,3,132.06,42.34,7.53
C1_Sumarizacao,4096,128,01_KV,3,150.17,41.33,4.05
C1_Sumarizacao,4096,128,02_Attn,3,125.71,46.60,6.79
C1_Sumarizacao,4096,128,03_FFN,3,140.53,44.85,4.24
C1_Sumarizacao,4096,128,04_KV_Attn,3,136.70,49.57,3.83
C1_Sumarizacao,4096,128,05_KV_FFN,3,151.96,47.76,2.86
C1_Sumarizacao,4096,128,06_Attn_FFN,3,143.69,45.16,3.86
C1_Sumarizacao,4096,128,07_Tudo,3,171.31,41.59,2.59
C1_Sumarizacao,4096,128,00_Baseline,4,129.54,42.82,7.53
C1_Sumarizacao,4096,128,01_KV,4,155.90,39.08,4.05
C1_Sumarizacao,4096,128,02_Attn,4,125.27,46.94,6.78
C1_Sumarizacao,4096,128,03_FFN,4,140.18,45.08,4.24
C1_Sumarizacao,4096,128,04_KV_Attn,4,136.20,49.02,3.83
C1_Sumarizacao,4096,128,05_KV_FFN,4,167.05,40.67,2.86
C1_Sumarizacao,4096,128,06_Attn_FFN,4,143.96,45.04,3.86
C1_Sumarizacao,4096,128,07_Tudo,4,166.59,42.77,2.59
C1_Sumarizacao,4096,128,00_Baseline,5,129.00,43.18,7.51
C1_Sumarizacao,4096,128,01_KV,5,160.18,37.58,4.05
C1_Sumarizacao,4096,128,02_Attn,5,124.54,46.54,6.75
C1_Sumarizacao,4096,128,03_FFN,5,142.17,44.91,4.24
C1_Sumarizacao,4096,128,04_KV_Attn,5,137.55,48.62,3.83
C1_Sumarizacao,4096,128,05_KV_FFN,5,158.80,44.34,2.86
C1_Sumarizacao,4096,128,06_Attn_FFN,5,145.64,44.95,3.87
C1_Sumarizacao,4096,128,07_Tudo,5,173.18,40.63,2.59
C1_Sumarizacao,4096,128,00_Baseline,6,130.13,43.15,7.50
C1_Sumarizacao,4096,128,01_KV,6,155.61,38.82,4.05
C1_Sumarizacao,4096,128,02_Attn,6,123.82,46.90,6.77
C1_Sumarizacao,4096,128,03_FFN,6,144.31,44.93,4.24
C1_Sumarizacao,4096,128,04_KV_Attn,6,140.01,47.42,3.83
C1_Sumarizacao,4096,128,05_KV_FFN,6,152.65,46.67,2.86
C1_Sumarizacao,4096,128,06_Attn_FFN,6,143.90,45.04,3.87
