Scenario,N_Prompt,N_Gen,Mode,Run,Total_Time_s,Prefill_TPS,Decode_TPS
C1_Sumarizacao,4096,128,00_Baseline,1,87.14,74.67,9.07
C1_Sumarizacao,4096,128,01_KV,1,93.29,81.68,5.04
C1_Sumarizacao,4096,128,02_Attn,1,84.65,81.46,7.87
C1_Sumarizacao,4096,128,03_FFN,1,104.71,73.78,4.43
C1_Sumarizacao,4096,128,04_KV_Attn,1,93.40,88.40,4.66
C1_Sumarizacao,4096,128,05_KV_FFN,1,121.80,67.56,3.21
C1_Sumarizacao,4096,128,06_Attn_FFN,1,106.77,74.32,4.02
C1_Sumarizacao,4096,128,07_Tudo,1,118.29,79.52,2.87
C1_Sumarizacao,4096,128,00_Baseline,2,84.27,76.36,9.24
C1_Sumarizacao,4096,128,01_KV,2,101.70,70.06,5.00
C1_Sumarizacao,4096,128,02_Attn,2,85.76,81.47,7.56
C1_Sumarizacao,4096,128,03_FFN,2,102.20,74.95,4.51
C1_Sumarizacao,4096,128,04_KV_Attn,2,99.97,78.70,4.50
C1_Sumarizacao,4096,128,05_KV_FFN,2,110.51,81.90,3.24
C1_Sumarizacao,4096,128,06_Attn_FFN,2,108.06,73.81,4.06
C1_Sumarizacao,4096,128,07_Tudo,2,124.50,70.69,2.85
C1_Sumarizacao,4096,128,00_Baseline,3,85.02,76.37,8.66
C1_Sumarizacao,4096,128,01_KV,3,93.75,81.54,5.18
C1_Sumarizacao,4096,128,02_Attn,3,82.83,83.38,7.88
C1_Sumarizacao,4096,128,03_FFN,3,105.58,71.64,4.42
C1_Sumarizacao,4096,128,04_KV_Attn,3,92.44,89.29,4.70
C1_Sumarizacao,4096,128,05_KV_FFN,3,119.22,69.50,3.19
C1_Sumarizacao,4096,128,06_Attn_FFN,3,106.99,75.43,4.06
C1_Sumarizacao,4096,128,07_Tudo,3,123.28,76.42,2.83
C1_Sumarizacao,4096,128,00_Baseline,4,84.51,75.65,9.27
C1_Sumarizacao,4096,128,01_KV,4,101.24,71.68,5.06
C1_Sumarizacao,4096,128,02_Attn,4,83.35,82.74,7.77
C1_Sumarizacao,4096,128,03_FFN,4,102.92,74.83,4.40
C1_Sumarizacao,4096,128,04_KV_Attn,4,99.79,77.84,4.62
C1_Sumarizacao,4096,128,05_KV_FFN,4,110.44,82.87,3.22
C1_Sumarizacao,4096,128,06_Attn_FFN,4,105.51,76.18,4.07
C1_Sumarizacao,4096,128,07_Tudo,4,117.65,81.79,2.85
C1_Sumarizacao,4096,128,00_Baseline,5,83.93,78.80,8.40
C1_Sumarizacao,4096,128,01_KV,5,103.40,69.01,5.05
C1_Sumarizacao,4096,128,02_Attn,5,83.23,83.42,7.84
C1_Sumarizacao,4096,128,03_FFN,5,103.24,75.29,4.34
C1_Sumarizacao,4096,128,04_KV_Attn,5,102.23,75.73,4.48
C1_Sumarizacao,4096,128,05_KV_FFN,5,118.82,70.91,3.21
C1_Sumarizacao,4096,128,06_Attn_FFN,5,105.90,75.21,4.05
C1_Sumarizacao,4096,128,07_Tudo,5,126.55,69.25,2.86
C1_Sumarizacao,4096,128,00_Baseline,6,86.08,75.92,8.87
C1_Sumarizacao,4096,128,01_KV,6,92.53,83.88,4.94
C1_Sumarizacao,4096,128,02_Attn,6,85.16,82.27,7.59
C1_Sumarizacao,4096,128,03_FFN,6,103.34,74.35,4.41
